nome,cpf,email,cargo
João Silva,12345678900,joao.silva@email.com,Analista
Maria Souza,,maria.souza@email.com,Gerente
Pedro Santos,98765432100,pedro.santosemail.com,Desenvolvedor
Ana Costa,11122233344,ana.costa@email.com,Coordenadora
Carlos Lima,55566677788,carlos.lima@email.com,Supervisor
Fernanda Rocha,99988877766,,Assistente
Lucas Oliveira,44433322211,lucas.oliveira@email.com,Analista
Juliana Martins,77788899900,juliana.martins@email.com,Gerente
Ricardo Alves,,ricardo.alves@email.com,Desenvolvedor
Patrícia Gomes,22233344455,patricia.gomes@email.com,RH
